benchmark,partition#,iteration#,area%,error%,time
adder,20,1,100.1312%,0.3893%,638.2556sec
adder,20,2,99.4227%,0.9465%,563.4290sec
adder,20,3,99.0554%,1.4986%,568.8975sec
adder,20,4,98.3994%,1.8825%,556.5325sec
benchmark,partition#,iteration#,area%,error%,time
priority,25,1,98.3350%,0.0000%,982.7315sec
priority,25,2,96.7189%,0.1622%,883.8569sec
priority,25,3,95.5436%,0.1622%,889.7984sec
priority,25,4,94.7600%,3.7156%,891.1966sec
benchmark,partition#,iteration#,area%,error%,time
ctrl,5,1,99.3213%,0.2193%,53.0215sec
ctrl,5,2,95.2489%,0.4389%,40.6029sec
ctrl,5,3,92.9864%,0.8037%,40.2443sec
ctrl,5,4,93.2127%,0.8037%,28.7912sec
benchmark,partition#,iteration#,area%,error%,time
dec,30,1,99.6181%,0.0017%,1052.1353sec
dec,30,2,99.2362%,0.0035%,1009.0825sec
dec,30,3,98.8543%,0.0047%,1011.5378sec
dec,30,4,98.4724%,0.0066%,1009.3702sec
benchmark,partition#,iteration#,area%,error%,time
int2float,5,1,87.8594%,0.0775%,68.4367sec
int2float,5,2,78.9137%,2.2263%,50.6318sec
int2float,5,3,76.6773%,2.2325%,49.1178sec
int2float,5,4,74.6006%,2.9925%,40.3177sec
benchmark,partition#,iteration#,area%,error%,time
router,8,1,86.6419%,0.0000%,98.4704sec
router,8,2,74.3970%,0.0000%,80.8584sec
router,8,3,62.9870%,0.0000%,68.6877sec
router,8,4,54.3599%,0.0000%,70.0111sec
benchmark,partition#,iteration#,area%,error%,time
cavlc,50,1,98.6140%,0.8967%,2069.4047sec
cavlc,50,2,97.6480%,1.1908%,1973.9281sec
cavlc,50,3,96.6821%,1.3133%,1979.0914sec
cavlc,50,4,95.7581%,3.0842%,1912.3821sec
benchmark,partition#,iteration#,area%,error%,time
i2c,100,1,98.7495%,0.0666%,10414.7682sec
i2c,100,2,98.7283%,0.2406%,10301.0457sec
